id,name,host_id,host_name,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,number_of_reviews,review_scores_rating
1009807768200184991,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 shared bath,9777236,Vicky,False,6,True,Novena,Private room,1,1,108.0,92.0,365.0,True,0,NaN
1010031362880077109,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,466330896,Blueground,False,96,True,Museum,Entire home/apt,2,1,221.0,351.3,1125.0,True,0,NaN
1010212999821201739,Rental unit in Singapore · ★5.0 · 2 bedrooms · 2 beds · 2 baths,109333133,Pat,False,83,True,River Valley,Entire home/apt,6,2,473.0,2.0,365.0,True,3,5.0
1011060226387186056,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 shared bath,9777236,Vicky,False,6,True,Novena,Private room,1,1,83.0,92.0,365.0,True,0,NaN
1011451895433821244,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,9777236,Vicky,False,6,True,Novena,Private room,1,1,108.0,92.0,365.0,True,0,NaN
1011475793638072586,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 shared bath,9777236,Vicky,False,6,True,Novena,Private room,1,1,48.0,92.0,365.0,True,0,NaN
1011895910243520955,Rental unit in Singapore · ★New · 1 bedroom · 2 beds · 1 bath,10248444,Recr,False,91,True,River Valley,Entire home/apt,6,2,275.0,2.0,365.0,True,2,5.0
1012084594628127566,Rental unit in Singapore · ★New · 2 bedrooms · 2 beds · 2 baths,70457435,Melda,False,1,True,Tanglin,Entire home/apt,4,2,180.0,92.0,365.0,True,0,NaN
1012817610220906302,Rental unit in Singapore · ★New · 3 bedrooms · 3 beds · 4 baths,543922318,Ellen,False,3,True,Rochor,Private room,3,3,80.0,99.0,365.0,True,0,NaN
1013057108052185979,Rental unit in Singapore · ★New · 3 bedrooms · 1 bed · 4 baths,543922318,Ellen,False,3,True,Bishan,Private room,2,1,74.0,100.0,365.0,True,0,NaN
1013452020990230805,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,238891646,Neha,False,267,True,Novena,Entire home/apt,2,1,290.0,6.0,365.0,True,0,NaN
1013573605600159763,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 2 baths,199153486,Choon,False,1,True,Geylang,Private room,1,1,50.0,92.0,365.0,True,0,NaN
1013821805404847618,Rental unit in Singapore · ★New · 2 bedrooms · 2 beds · 2 baths,10248444,Recr,False,91,True,River Valley,Entire home/apt,6,2,405.0,2.0,365.0,True,0,NaN
1014425730453919892,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,238891646,Neha,False,267,True,Novena,Entire home/apt,2,1,520.0,1.0,365.0,True,0,NaN
1014821950382962030,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,544341239,Cove,False,1,True,Jurong West,Private room,2,1,183.0,6.0,90.0,True,0,NaN
1015126925609027912,Rental unit in Singapore · ★4.33 · 1 bedroom · 2 beds · 1 bath,455736437,Bob,False,17,True,Geylang,Entire home/apt,4,2,136.0,2.0,365.0,True,3,4.33
1015674434767532160,Serviced apartment in Singapore · ★New · 3 bedrooms · 4 beds · 2 baths,138649185,Apac,False,875,True,Singapore River,Entire home/apt,6,4,620.0,10.0,365.0,True,1,4.0
1015737282887102842,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,544525434,Hou,False,1,True,Museum,Private room,2,1,250.0,6.0,365.0,True,0,NaN
1015766101056565760,Tower in Singapore · ★New · 1 bedroom · 1 bed · 1.5 baths,1368991,Alexis,False,1,True,Kallang,Entire home/apt,1,1,NaN,92.0,365.0,NaN,0,NaN
1018681234279575609,Rental unit in Singapore · ★New · 5 bedrooms · 5 beds · 2 baths,10736359,Smile,False,1,True,Bukit Batok,Private room,5,5,84.0,92.0,546.0,True,0,NaN
1019808317468612809,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,399268777,Candice,True,2,True,River Valley,Entire home/apt,2,1,388.0,2.0,365.0,True,1,5.0
1020792775923171248,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,466330896,Blueground,False,96,True,Bukit Merah,Entire home/apt,2,1,212.0,355.0,1125.0,True,0,NaN
1020835554376098653,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,466330896,Blueground,False,96,True,Downtown Core,Entire home/apt,2,1,240.0,354.9,1125.0,True,0,NaN
1021655454142696322,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1 bath,466330896,Blueground,False,96,True,River Valley,Entire home/apt,2,1,210.0,351.3,1125.0,True,0,NaN
1021695586762269747,Hotel in Singapore · ★New · 1 bedroom · 1 bed · 1 private bath,535899829,Kam Leng Hotel,False,3,True,Kallang,Private room,2,1,146.0,1.0,60.0,True,2,4.0
1021975459427062282,Rental unit in Singapore · ★New · 1 bedroom · 5 beds · 1 bath,455736437,Bob,False,17,True,Marine Parade,Entire home/apt,6,5,200.0,2.0,365.0,True,0,NaN
1023867600592669423,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · Half-bath,38934778,Ian,False,4,True,Bishan,Private room,1,1,52.0,92.0,365.0,True,0,NaN
1025026081961403901,Home in Singapore · ★New · 1 bedroom · 1.5 shared baths,507286696,Lok,False,3,True,Jurong West,Private room,1,NaN,50.0,92.0,730.0,True,0,NaN
1025117832408064071,Rental unit in Singapore · ★New · 1 bedroom · 1 bed · 1.5 shared baths,7638976,Elin,False,2,True,Downtown Core,Private room,1,1,88.0,92.0,365.0,True,0,NaN
1025281098926073017,Home in Singapore · ★New · 1 bedroom · 1 bed · 1 shared bath,507286696,Lok,False,3,True,Western Water Catchment,Private room,1,1,50.0,92.0,730.0,True,0,NaN
1025588886070864385,Rental unit in Singapore · ★New · 2 bedrooms · 3 beds · 2 baths,225641992,David,False,6,True,Orchard,Entire home/apt,4,3,1164.0,6.0,365.0,True,0,NaN
1025934423553001078,Condo in Singapore · ★New · 1 bedroom · 1 bed · 1 private bath,546766957,Yue,False,1,True,Clementi,Private room,1,1,67.0,92.0,365.0,True,0,NaN
1026087527228070619,Rental unit in Singapore · ★New · 3 bedrooms · 2 beds · 2 baths,459658024,Nic,False,2,True,Marine Parade,Entire home/apt,2,2,228.0,90.0,1125.0,True,0,NaN
